Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude,Response Time Difference,Within Estimated Time,Time to Resolution (Days),Time to Resolution (Days,Estimated Time to Resolve (Minutes),Estimated Time to Resolve (Days)
In progress,1031,Low,Email,Feature request,1st line support,Kristos Westoll,2023-01-04 18:08:24,2023-01-06 18:08:24,2023-01-04 19:08:24,2023-01-04 18:13:04.107,Within SLA,0,SLA Violated,4.0,No Feedback,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,-55.33155,True,,-1.0,2880.0,2.0
Resolved,1032,Low,Email,Product setup,2nd line support,Heather Urry,2023-01-04 12:47:17,2023-01-06 12:47:17,2023-01-04 13:47:17,2023-01-04 13:20:44.142,Within SLA,2023-01-05 07:54:03.448,Within SLA,2.0,No Feedback,Other,Tier 2,Germany,51.165691,10.451526,-26.547633333333334,True,0.8,0.8,2880.0,2.0
In progress,1034,Low,Chat,Other,1st line support,Connor Danielovitch,2023-01-04 19:06:20,2023-01-05 19:06:20,2023-01-04 19:08:20,2023-01-04 19:07:35.320,Within SLA,0,SLA Violated,9.0,No Feedback,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526,-0.7446666666666667,True,,-1.0,1440.0,1.0
In progress,1035,High,Email,Training request,1st line support,Connor Danielovitch,2023-01-04 05:27:57,2023-01-06 05:27:57,2023-01-04 06:27:57,2023-01-04 06:07:00.171,Within SLA,0,SLA Violated,7.0,No Feedback,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526,-20.94715,True,,-1.0,2880.0,2.0
Resolved,1037,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-05 12:10:27,2023-01-07 12:10:27,2023-01-05 13:10:27,2023-01-05 12:34:20.255,Within SLA,2023-01-07 11:23:15.054,Within SLA,1.0,No Feedback,Custom software development,Tier 1,Poland,52.536273,19.050639,-36.11241666666667,True,2.0,2.0,2880.0,2.0
Closed,1038,High,Chat,Other,1st line support,Bernard Beckley,2023-01-05 04:18:55,2023-01-06 04:18:55,2023-01-05 04:20:55,2023-01-05 04:19:42.046,Within SLA,2023-01-05 19:22:17.161,Within SLA,3.0,Average,Other,Tier 1,Italy,43.036776,12.678565,-1.2159,True,0.6,0.6,1440.0,1.0
Resolved,1039,Medium,Chat,Purchasing and invoicing,2nd line support,Adolpho Messingham,2023-01-05 05:16:19,2023-01-06 05:16:19,2023-01-05 05:18:19,2023-01-05 05:18:00.531,Within SLA,2023-01-05 07:37:10.835,Within SLA,3.0,No Feedback,Custom software development,Tier 2,Poland,52.536273,19.050639,-0.3078166666666667,True,0.1,0.1,1440.0,1.0
In progress,1040,High,Chat,Bug report,2nd line support,Heather Urry,2023-01-05 14:30:37,2023-01-06 14:30:37,2023-01-05 14:32:37,2023-01-05 14:31:02.365,Within SLA,0,SLA Violated,6.0,No Feedback,Ready to use Software,Tier 2,Poland,52.536273,19.050639,-1.57725,True,,-1.0,1440.0,1.0
Closed,1041,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-01-05 02:59:54,2023-01-06 02:59:54,2023-01-05 03:01:54,2023-01-05 03:04:27.475,SLA Violated,2023-01-05 21:50:51.227,Within SLA,8.0,Poor,Ready to use Software,Tier 1,Germany,51.165691,10.451526,2.5579166666666664,False,0.8,0.8,1440.0,1.0
Closed,1043,High,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-01-05 03:31:45,2023-01-07 03:31:45,2023-01-05 04:31:45,2023-01-05 04:02:04.982,Within SLA,2023-01-06 17:14:14.261,Within SLA,3.0,Excellent,Custom software development,Tier 1,Italy,43.036776,12.678565,-29.666966666666667,True,1.6,1.6,2880.0,2.0
Closed,1044,Low,Chat,Product setup,1st line support,Kristos Westoll,2023-01-06 20:45:42,2023-01-07 20:45:42,2023-01-06 20:47:42,2023-01-06 20:47:41.330,Within SLA,2023-01-07 00:07:32.803,Within SLA,3.0,Poor,Custom software development,Tier 1,Italy,43.036776,12.678565,-0.011166666666666667,True,0.1,0.1,1440.0,1.0
Resolved,1045,Medium,Email,Bug report,1st line support,Kristos Westoll,2023-01-06 20:14:59,2023-01-08 20:14:59,2023-01-06 21:14:59,2023-01-06 20:58:29.786,Within SLA,2023-01-08 07:15:33.362,Within SLA,4.0,No Feedback,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106,-16.486900000000002,True,1.5,1.5,2880.0,2.0
Resolved,1046,High,Email,Bug report,1st line support,Sheela Cutten,2023-01-06 15:11:41,2023-01-08 15:11:41,2023-01-06 16:11:41,2023-01-06 15:35:55.110,Within SLA,2023-01-07 06:22:47.483,Within SLA,1.0,No Feedback,Custom software development,Tier 1,Poland,52.536273,19.050639,-35.76483333333333,True,0.6,0.6,2880.0,2.0
In progress,1047,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-06 03:15:21,2023-01-08 03:15:21,2023-01-06 04:15:21,2023-01-06 04:07:57.717,Within SLA,0,SLA Violated,1.0,No Feedback,Training and Consulting Services,Tier 1,Greece,39.368279,21.863141,-7.388050000000001,True,,-1.0,2880.0,2.0
In progress,1048,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-01-06 23:55:57,2023-01-07 23:55:57,2023-01-06 23:57:57,2023-01-06 23:56:15.157,Within SLA,0,SLA Violated,8.0,No Feedback,Ready to use Software,Tier 1,Greece,39.368279,21.863141,-1.6973833333333335,True,,-1.0,1440.0,1.0
Closed,1049,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-01-06 12:05:00,2023-01-07 12:05:00,2023-01-06 12:07:00,2023-01-06 12:06:37.265,Within SLA,2023-01-11 05:34:05.275,SLA Violated,3.0,Good,Custom software development,Tier 1,Poland,52.536273,19.050639,-0.3789166666666667,True,4.7,4.7,1440.0,1.0
Closed,1050,Low,Email,Product setup,1st line support,Nicola Wane,2023-01-07 01:13:52,2023-01-09 01:13:52,2023-01-07 02:13:52,2023-01-07 01:33:11.308,Within SLA,2023-01-12 02:26:01.957,SLA Violated,6.0,Good,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726,-40.6782,True,5.1,5.1,2880.0,2.0
Closed,1054,High,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-01-07 05:28:54,2023-01-09 05:28:54,2023-01-07 06:28:54,2023-01-07 06:09:50.229,Within SLA,2023-01-08 08:30:22.633,Within SLA,2.0,Excellent,Custom software development,Tier 2,Italy,43.036776,12.678565,-19.06285,True,1.1,1.1,2880.0,2.0
Closed,1055,High,Email,Bug report,1st line support,Connor Danielovitch,2023-01-07 18:09:17,2023-01-09 18:09:17,2023-01-07 19:09:17,2023-01-07 19:04:58.137,Within SLA,2023-01-09 13:07:23.232,Within SLA,8.0,Good,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675,-4.314383333333334,True,1.8,1.8,2880.0,2.0
Resolved,1056,Low,Email,Bug report,1st line support,Kristos Westoll,2023-01-07 00:13:20,2023-01-09 00:13:20,2023-01-07 01:13:20,2023-01-07 00:19:13.578,Within SLA,2023-01-08 13:56:19.524,Within SLA,8.0,No Feedback,Custom software development,Tier 1,Germany,51.165691,10.451526,-54.107033333333334,True,1.6,1.6,2880.0,2.0
Closed,1057,Medium,Email,Feature request,1st line support,Bernard Beckley,2023-01-07 09:55:14,2023-01-09 09:55:14,2023-01-07 10:55:14,2023-01-07 10:35:51.009,Within SLA,2023-01-09 01:35:54.021,Within SLA,7.0,Excellent,Ready to use Software,Tier 1,Germany,51.165691,10.451526,-19.38318333333333,True,1.7,1.7,2880.0,2.0
In progress,1058,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-08 13:39:52,2023-01-10 13:39:52,2023-01-08 14:39:52,2023-01-08 14:36:27.207,Within SLA,0,SLA Violated,10.0,No Feedback,Ready to use Software,Tier 1,France,48.864716,2.349014,-3.4132166666666666,True,,-1.0,2880.0,2.0
In progress,1062,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-01-08 19:35:27,2023-01-09 19:35:27,2023-01-08 19:37:27,2023-01-08 19:36:35.285,Within SLA,0,SLA Violated,60.0,No Feedback,Custom software development,Tier 1,Republic of Ireland,53.094024,-8.019675,-0.8619166666666668,True,,-1.0,1440.0,1.0
Closed,1063,Low,Phone,Feature request,1st line support,Kristos Westoll,2023-01-08 04:56:45,2023-01-10 04:56:45,2023-01-08 04:58:45,2023-01-08 05:01:41.476,SLA Violated,2023-01-08 08:51:45.370,Within SLA,2.0,Very Poor,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,2.9412666666666665,False,0.2,0.2,2880.0,2.0
Closed,1064,High,Chat,Other,1st line support,Connor Danielovitch,2023-01-08 10:58:22,2023-01-09 10:58:22,2023-01-08 11:00:22,2023-01-08 10:59:35.789,Within SLA,2023-01-08 17:42:49.306,Within SLA,5.0,Excellent,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,-0.7701833333333333,True,0.3,0.3,1440.0,1.0
Closed,1065,Medium,Chat,Product setup,1st line support,Sheela Cutten,2023-01-08 01:00:01,2023-01-09 01:00:01,2023-01-08 01:02:01,2023-01-08 01:01:24.891,Within SLA,2023-01-08 04:07:23.580,Within SLA,3.0,Average,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,-0.6018166666666667,True,0.1,0.1,1440.0,1.0
Resolved,1066,Medium,Chat,Product setup,1st line support,Sheela Cutten,2023-01-09 14:16:59,2023-01-10 14:16:59,2023-01-09 14:18:59,2023-01-09 14:17:22.391,Within SLA,2023-01-10 06:21:28.868,Within SLA,6.0,No Feedback,Ready to use Software,Tier 1,Spain,39.67337,-4.767726,-1.61015,True,0.7,0.7,1440.0,1.0
Resolved,1067,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-09 15:09:10,2023-01-11 15:09:10,2023-01-09 16:09:10,2023-01-09 15:37:18.542,Within SLA,2023-01-11 01:02:32.459,Within SLA,3.0,No Feedback,Custom software development,Tier 1,Germany,51.165691,10.451526,-31.857633333333336,True,1.4,1.4,2880.0,2.0
Closed,1068,Low,Email,Product setup,1st line support,Kristos Westoll,2023-01-09 14:10:12,2023-01-11 14:10:12,2023-01-09 15:10:12,2023-01-09 14:48:04.246,Within SLA,2023-01-10 19:32:16.928,Within SLA,3.0,Very Poor,Ready to use Software,Tier 1,Greece,39.368279,21.863141,-22.12923333333333,True,1.2,1.2,2880.0,2.0
Closed,1069,Medium,Email,Pricing and licensing,2nd line support,Heather Urry,2023-01-09 17:25:30,2023-01-11 17:25:30,2023-01-09 18:25:30,2023-01-09 17:57:41.562,Within SLA,2023-01-10 12:39:05.914,Within SLA,2.0,Excellent,Custom software development,Tier 2,Poland,52.536273,19.050639,-27.8073,True,0.8,0.8,2880.0,2.0
Resolved,1070,High,Email,Pricing and licensing,2nd line support,Adolpho Messingham,2023-01-09 18:55:21,2023-01-11 18:55:21,2023-01-09 19:55:21,2023-01-09 19:32:12.017,Within SLA,2023-01-15 17:10:06.485,SLA Violated,1.0,No Feedback,Custom software development,Tier 2,Germany,51.165691,10.451526,-23.149716666666666,True,5.9,5.9,2880.0,2.0
Closed,1071,Medium,Email,Training request,2nd line support,Michele Whyatt,2023-01-09 11:56:11,2023-01-11 11:56:11,2023-01-09 12:56:11,2023-01-09 12:16:08.154,Within SLA,2023-01-10 16:04:07.277,Within SLA,1.0,Good,Training and Consulting Services,Tier 2,Republic of Ireland,53.094024,-8.019675,-40.04743333333333,True,1.2,1.2,2880.0,2.0
Closed,1072,High,Email,Feature request,1st line support,Sheela Cutten,2023-01-09 20:14:31,2023-01-11 20:14:31,2023-01-09 21:14:31,2023-01-09 20:29:39.010,Within SLA,2023-01-09 20:44:54.124,Within SLA,1.0,Excellent,Custom software development,Tier 1,Germany,51.165691,10.451526,-44.866499999999995,True,0.0,0.0,2880.0,2.0
Closed,1073,Medium,Email,Pricing and licensing,1st line support,Kristos Westoll,2023-01-09 09:10:39,2023-01-11 09:10:39,2023-01-09 10:10:39,2023-01-09 09:17:01.493,Within SLA,2023-01-09 21:58:19.008,Within SLA,7.0,Average,Ready to use Software,Tier 1,Greece,39.368279,21.863141,-53.62511666666667,True,0.5,0.5,2880.0,2.0
Closed,1074,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-01-09 06:50:00,2023-01-10 06:50:00,2023-01-09 06:52:00,2023-01-09 06:54:53.804,SLA Violated,2023-01-09 22:42:49.505,Within SLA,3.0,Good,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106,2.896733333333333,False,0.7,0.7,1440.0,1.0
Closed,1075,High,Email,Product setup,1st line support,Kristos Westoll,2023-01-09 21:50:02,2023-01-11 21:50:02,2023-01-09 22:50:02,2023-01-10 00:25:12.140,SLA Violated,2023-01-11 09:54:57.984,Within SLA,5.0,Poor,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126,95.16900000000001,False,1.5,1.5,2880.0,2.0
Closed,1076,Low,Phone,Product setup,1st line support,Bernard Beckley,2023-01-09 02:55:23,2023-01-11 02:55:23,2023-01-09 02:57:23,2023-01-09 02:55:31.714,Within SLA,2023-01-10 22:20:44.266,Within SLA,3.0,Excellent,Ready to use Software,Tier 1,Germany,51.165691,10.451526,-1.8547666666666667,True,1.8,1.8,2880.0,2.0
Resolved,1077,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 02:10:01,2023-01-12 02:10:01,2023-01-10 03:10:01,2023-01-10 02:35:28.295,Within SLA,2023-01-11 21:39:27.481,Within SLA,2.0,No Feedback,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039,-34.54508333333333,True,1.8,1.8,2880.0,2.0
Closed,1078,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 13:46:53,2023-01-12 13:46:53,2023-01-10 14:46:53,2023-01-10 13:50:11.579,Within SLA,2023-01-12 06:52:28.486,Within SLA,7.0,Poor,Ready to use Software,Tier 1,Germany,51.165691,10.451526,-56.690349999999995,True,1.7,1.7,2880.0,2.0
Resolved,1079,Low,Email,Product setup,1st line support,Kristos Westoll,2023-01-10 09:42:12,2023-01-12 09:42:12,2023-01-10 10:42:12,2023-01-10 10:30:03.208,Within SLA,2023-01-12 01:12:10.641,Within SLA,2.0,No Feedback,Other,Tier 1,Germany,51.165691,10.451526,-12.146533333333334,True,1.6,1.6,2880.0,2.0
Closed,1080,Low,Chat,Product setup,1st line support,Kristos Westoll,2023-01-10 03:17:26,2023-01-11 03:17:26,2023-01-10 03:19:26,2023-01-10 03:17:37.264,Within SLA,2023-01-10 13:22:15.933,Within SLA,3.0,Average,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726,-1.8122666666666667,True,0.4,0.4,1440.0,1.0
In progress,1081,Medium,Chat,Product setup,1st line support,Bernard Beckley,2023-01-10 04:29:04,2023-01-11 04:29:04,2023-01-10 04:31:04,2023-01-10 04:29:36.431,Within SLA,0,SLA Violated,3.0,No Feedback,Custom software development,Tier 1,Austria,47.6964719,13.3457347,-1.4594833333333335,True,,-1.0,1440.0,1.0
Closed,1082,Low,Phone,Product setup,1st line support,Connor Danielovitch,2023-01-10 20:59:34,2023-01-12 20:59:34,2023-01-10 21:01:34,2023-01-10 21:00:37.516,Within SLA,2023-01-12 17:31:37.329,Within SLA,5.0,Excellent,Custom software development,Tier 1,Poland,52.536273,19.050639,-0.9414,True,1.9,1.9,2880.0,2.0
Resolved,1083,Low,Phone,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 23:30:30,2023-01-12 23:30:30,2023-01-10 23:32:30,2023-01-10 23:31:12.529,Within SLA,2023-01-12 00:58:23.880,Within SLA,1.0,No Feedback,Ready to use Software,Tier 1,Poland,52.536273,19.050639,-1.2911833333333333,True,1.1,1.1,2880.0,2.0
Resolved,1084,Medium,Email,Other,1st line support,Connor Danielovitch,2023-01-10 10:14:54,2023-01-12 10:14:54,2023-01-10 11:14:54,2023-01-10 11:06:44.788,Within SLA,2023-01-11 20:40:17.303,Within SLA,7.0,No Feedback,Other,Tier 1,United Kingdom,55.378052,-3.435973,-8.153533333333334,True,1.4,1.4,2880.0,2.0
Closed,1085,High,Chat,Product setup,1st line support,Bernard Beckley,2023-01-10 07:30:22,2023-01-11 07:30:22,2023-01-10 07:32:22,2023-01-10 07:31:47.767,Within SLA,2023-01-10 10:50:31.437,Within SLA,4.0,Excellent,Ready to use Software,Tier 1,Germany,51.165691,10.451526,-0.57055,True,0.1,0.1,1440.0,1.0
Resolved,1086,Medium,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-01-10 17:16:11,2023-01-12 17:16:11,2023-01-10 18:16:11,2023-01-10 17:44:04.661,Within SLA,2023-01-12 07:22:02.841,Within SLA,10.0,No Feedback,Ready to use Software,Tier 1,Germany,51.165691,10.451526,-32.10565,True,1.6,1.6,2880.0,2.0
Closed,1087,Low,Email,Feature request,2nd line support,Adolpho Messingham,2023-01-11 19:17:35,2023-01-13 19:17:35,2023-01-11 20:17:35,2023-01-11 19:18:54.285,Within SLA,2023-01-11 20:05:34.343,Within SLA,8.0,Excellent,Ready to use Software,Tier 2,Italy,43.036776,12.678565,-58.678583333333336,True,0.0,0.0,2880.0,2.0
Closed,1088,Low,Chat,Purchasing and invoicing,1st line support,Nicola Wane,2023-01-11 11:24:14,2023-01-12 11:24:14,2023-01-11 11:26:14,2023-01-11 11:25:37.140,Within SLA,2023-01-11 20:49:43.338,Within SLA,8.0,Good,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726,-0.6143333333333333,True,0.4,0.4,1440.0,1.0
Resolved,1090,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-01-11 00:49:24,2023-01-12 00:49:24,2023-01-11 00:51:24,2023-01-11 00:50:15.651,Within SLA,2023-01-11 14:39:13.211,Within SLA,4.0,No Feedback,Ready to use Software,Tier 1,Italy,43.036776,12.678565,-1.13915,True,0.6,0.6,1440.0,1.0
Resolved,1092,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-01-11 12:31:52,2023-01-12 12:31:52,2023-01-11 12:33:52,2023-01-11 12:31:53.202,Within SLA,2023-01-12 12:24:20.970,Within SLA,3.0,No Feedback,Custom software development,Tier 1,Germany,51.165691,10.451526,-1.9799666666666667,True,1.0,1.0,1440.0,1.0
Resolved,1093,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-11 13:45:35,2023-01-13 13:45:35,2023-01-11 14:45:35,2023-01-11 14:12:45.316,Within SLA,2023-01-12 00:00:02.086,Within SLA,8.0,No Feedback,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973,-32.828066666666665,True,0.4,0.4,2880.0,2.0
Resolved,1094,Low,Chat,Purchasing and invoicing,1st line support,Connor Danielovitch,2023-01-11 04:04:47,2023-01-12 04:04:47,2023-01-11 04:06:47,2023-01-11 04:05:35.487,Within SLA,2023-01-11 19:03:32.390,Within SLA,6.0,No Feedback,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126,-1.1918833333333334,True,0.6,0.6,1440.0,1.0
Closed,1095,Low,Chat,Feature request,1st line support,Kristos Westoll,2023-01-11 13:40:47,2023-01-12 13:40:47,2023-01-11 13:42:47,2023-01-11 13:43:27.490,SLA Violated,2023-01-16 11:43:28.653,SLA Violated,3.0,Very Poor,Custom software development,Tier 1,Czech Republic,49.8037633,15.4749126,0.6748333333333334,False,4.9,4.9,1440.0,1.0
Closed,1097,Low,Email,Product setup,1st line support,Bernard Beckley,2023-01-11 05:29:41,2023-01-13 05:29:41,2023-01-11 06:29:41,2023-01-11 06:04:13.834,Within SLA,2023-01-11 17:24:42.166,Within SLA,1.0,Very Poor,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347,-25.452766666666665,True,0.5,0.5,2880.0,2.0
In progress,1098,Medium,Chat,Other,1st line support,Bernard Beckley,2023-01-12 12:18:45,2023-01-13 12:18:45,2023-01-12 12:20:45,2023-01-12 12:19:18.598,Within SLA,0,SLA Violated,6.0,No Feedback,Ready to use Software,Tier 1,Poland,52.536273,19.050639,-1.4400333333333333,True,,-1.0,1440.0,1.0
Resolved,1100,Medium,Email,Feature request,2nd line support,Heather Urry,2023-01-12 22:40:11,2023-01-14 22:40:11,2023-01-12 23:40:11,2023-01-12 22:47:08.587,Within SLA,2023-01-13 13:58:22.732,Within SLA,7.0,No Feedback,Custom software development,Tier 2,Italy,43.036776,12.678565,-53.040216666666666,True,0.6,0.6,2880.0,2.0
Resolved,1101,High,Chat,Bug report,1st line support,Sheela Cutten,2023-01-13 15:00:14,2023-01-14 15:00:14,2023-01-13 15:02:14,2023-01-13 15:00:36.375,Within SLA,2023-01-14 02:58:00.277,Within SLA,60.0,No Feedback,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347,-1.6270833333333334,True,0.5,0.5,1440.0,1.0
Resolved,1102,Low,Chat,Other,2nd line support,Michele Whyatt,2023-01-13 15:16:58,2023-01-14 15:16:58,2023-01-13 15:18:58,2023-01-13 15:17:30.575,Within SLA,2023-01-13 21:16:38.693,Within SLA,5.0,No Feedback,Ready to use Software,Tier 2,Germany,51.165691,10.451526,-1.4570833333333333,True,0.2,0.2,1440.0,1.0
